date,sentiment_score
2015-01-13,0.991
2015-01-22,0.9174
2015-02-06,0.8894
2015-02-12,-0.5574
2015-02-17,-0.8176
2015-03-02,0.9753
2015-03-03,0.8074
2015-03-03,0.872
2015-03-11,0.9284
2015-03-13,0.9895
2015-04-07,0.296
2015-04-15,0.8745
2015-04-24,0.9905
2015-04-25,0.9728
2015-04-29,0.9791
2015-05-09,-0.9863
2015-05-09,0.9896
2015-05-17,0.9911
2015-05-18,0.9992
2015-05-28,0.9926
2015-06-02,-0.9584
2015-06-04,0.9231
2015-06-07,-0.9776
2015-06-11,0.9907
2015-06-12,-0.9909
2015-06-18,0.9124
2015-06-19,0.802
2015-06-23,0.9287
2015-06-25,-0.9876
2015-06-25,0.9853
2015-07-02,0.9971
2015-07-04,-0.7783
2015-07-04,0.0635
2015-07-04,0.0635
2015-07-08,0.6701
2015-07-13,0.9337
2015-07-15,-0.4019
2015-07-16,0.9485
2015-07-16,0.7096
2015-07-17,-0.6249
2015-07-18,0.9943
2015-07-19,0.9947
2015-08-06,0.9643
2015-08-07,0.9118
2015-08-13,0.9993
2015-08-13,0.9868
2015-08-17,-0.9623
2015-08-18,-0.5927
2015-08-19,0.9837
2015-08-22,0.9986
2015-08-24,0.9325
2015-08-25,0.8934
2015-08-26,-0.9389
2015-08-27,0.9884
2015-08-27,0.9938
2015-09-07,-0.8706
2015-09-07,0.8938
2015-09-08,-0.6597
2015-09-12,-0.6596
2015-09-13,0.9442
2015-09-14,0.9906
2015-09-18,0.9694
2015-09-22,0.9912
2015-09-23,0.995
2015-09-23,0.8834
2015-09-28,-0.3527
2015-09-29,0.9883
2015-09-30,0.9834
2015-09-30,0.9862
2015-10-01,0.7906
2015-10-03,0.9897
2015-10-04,0.9618
2015-10-22,0.9698
2015-10-25,0.9928
2015-10-30,-0.7675
2015-11-08,0.999
2015-11-11,-0.9217
2015-11-16,0.9633
2015-11-18,0.9922
2015-11-22,0.9934
2015-11-24,-0.9761
2015-11-24,0.7783
2015-11-24,-0.975
2015-12-09,-0.7936
2015-12-11,0.9952
2015-12-14,0.9889
2015-12-14,0.9607
2015-12-27,0.9741
2015-12-29,0.9883
2016-01-22,0.9723
2016-01-23,0.9891
2016-01-26,0.7906
2016-02-05,0.9886
2016-02-06,0.9916
2016-02-11,0.3818
2016-02-12,-0.9493
2016-02-15,0.9841
2016-02-17,0.9859
2016-02-17,0.9797
2016-02-18,0.9201
2016-02-20,0.9931
2016-02-26,0.9767
2016-02-28,-0.3818
2016-03-01,0.9965
2016-03-03,0.8503
2016-03-04,0.9962
2016-03-10,0.9865
2016-03-14,0.9366
2016-03-14,0.9865
2016-03-15,0.9802
2016-03-17,0.8104
2016-03-21,0.969
2016-03-21,0.8934
2016-03-22,0.7182
2016-04-03,0.9992
2016-04-11,0.9613
2016-04-11,0.9477
2016-04-12,0.9493
2016-04-17,0.872
2016-04-21,0.8209
2016-04-27,0.5499
2016-04-29,0.9508
2016-05-17,0.8751
2016-05-23,0.9136
2016-06-01,0.7964
2016-06-03,0.9735
2016-06-09,0.3955
2016-06-30,0.8062
2016-07-02,0.9628
2016-07-05,0.9692
2016-07-14,0.9898
2016-07-31,0.9876
2016-08-08,0.9929
2016-08-12,0.9833
2016-08-15,0.9992
2016-09-03,0.5965
2016-09-05,0.9929
2016-09-09,0.9161
2016-09-09,-0.9231
2016-09-09,0.9761
2016-09-09,-0.34
2016-09-12,-0.7311
2016-09-16,0.936
2016-09-16,0.9913
2016-10-01,0.836
2016-10-04,0.9434
2016-10-04,0.9191
2016-10-06,0.9897
2016-10-07,0.9889
2016-10-13,0.9965
2016-10-14,0.8176
2016-10-16,0.7096
2016-10-18,0.9877
2016-10-18,-0.5664
2016-10-18,-0.9652
2016-10-21,0.99
2016-10-22,0.8937
2016-10-26,0.8937
2016-10-27,0.9473
2016-10-30,0.9432
2016-11-02,0.9761
2016-11-03,-0.9486
2016-11-10,0.992
2016-11-11,0.9955
2016-11-12,0.82
2016-11-17,-0.9224
2016-11-18,0.991
2016-11-24,0.9829
2016-12-04,0.9958
2016-12-19,0.9971
2016-12-21,0.9975
2017-01-07,0.9955
2017-01-09,0.9956
2017-01-18,-0.9985
2017-01-19,-0.816
2017-01-23,0.9184
2017-02-13,-0.9689
2017-02-13,0.6812
2017-02-14,0.9975
2017-02-15,0.9499
2017-02-19,0.9467
2017-02-21,-0.9627
2017-03-02,0.9568
2017-03-24,0.9861
2017-03-28,0.5239
2017-03-29,-0.2252
2017-03-29,0.9231
2017-04-03,0.8283
2017-04-06,0.9628
2017-04-06,0.9628
2017-04-11,0.945
2017-04-13,0.9994
2017-04-14,0.9829
2017-04-15,0.9697
2017-04-15,-0.9584
2017-04-20,0.1116
2017-04-23,-0.9769
2017-04-25,0.9851
2017-04-30,-0.7903
2017-05-01,-0.7903
2017-05-02,0.9976
2017-05-02,0.7783
2017-05-02,-0.431
2017-05-03,0.967
2017-05-04,0.9628
2017-05-04,0.989
2017-05-12,0.9522
